sequence,num_frames,num_test_frames,full_accuracy,test_accuracy,false_skips,false_keeps,true_keep_rate,pred_keep_rate
MOT17-02-FRCNN,599,120,0.994991652754591,0.9833333333333333,3,0,0.08347245409015025,0.07846410684474124
MOT17-04-FRCNN,1049,210,0.994280266920877,0.9952380952380953,6,0,0.005719733079122974,0.0
MOT17-05-FRCNN,836,168,0.9808612440191388,0.9583333333333334,8,8,0.7631578947368421,0.7631578947368421
MOT17-09-FRCNN,524,105,0.9599236641221374,0.8476190476190476,18,3,0.3473282442748092,0.3187022900763359
MOT17-10-FRCNN,653,131,0.9846860643185299,0.9465648854961832,6,4,0.8575803981623277,0.8545176110260337
MOT17-11-FRCNN,899,180,0.9933259176863182,0.9888888888888889,4,2,0.8921023359288098,0.8898776418242491
MOT17-13-FRCNN,749,150,0.9692923898531375,0.8733333333333333,23,0,0.8277703604806409,0.7970627503337784
